City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Bull Savanna,JM,2021-12-20 20:40:51,17.8868,-77.5902,79.21,64,1,9.15
162,Les Cayes,HT,2021-12-20 20:45:45,18.2,-73.75,82.11,60,1,8.08
163,Roma,US,2021-12-20 20:45:45,43.2128,-75.4557,37.26,77,40,6.91
164,Ribeira Grande,PT,2021-12-20 20:45:46,38.5167,-28.7,59.4,88,75,20.71
165,Teahupoo,PF,2021-12-20 20:45:46,-17.8333,-149.2667,80.56,71,58,7.14
166,Canutama,BR,2021-12-20 20:45:46,-6.5339,-64.3831,81.23,92,97,1.25
167,Guerrero Negro,MX,2021-12-20 20:45:47,27.9769,-114.0611,71.49,28,44,4.32
168,Atar,MR,2021-12-20 20:45:47,20.5169,-13.0499,72.48,32,100,19.64
169,Rabo De Peixe,PT,2021-12-20 20:45:48,37.8,-25.5833,58.51,97,40,17.27
170,Urumqi,CN,2021-12-20 20:42:02,43.801,87.6005,13.15,79,100,2.24
171,Hanzhong,CN,2021-12-20 20:45:48,33.0728,107.0303,40.24,71,0,1.77
172,Port Hedland,AU,2021-12-20 20:45:48,-20.3167,118.5667,80.65,89,42,1.14
173,Kouango,CF,2021-12-20 20:45:49,4.9934,19.9619,81.12,37,87,0.72
174,Okhotsk,RU,2021-12-20 20:45:49,59.3833,143.3,-1.08,96,100,1.99
175,Progreso,MX,2021-12-20 20:45:17,21.2833,-89.6667,87.91,80,59,15.43
176,Chicama,PE,2021-12-20 20:45:49,-7.8447,-79.1469,66.74,63,86,10.31
177,Gillette,US,2021-12-20 20:45:50,44.2911,-105.5022,24.06,87,90,18.99
178,Altay,CN,2021-12-20 20:45:50,47.8667,88.1167,17.91,84,78,5.88
179,Karratha,AU,2021-12-20 20:40:52,-20.7377,116.8463,85.14,56,22,7.61
180,Tuktoyaktuk,CA,2021-12-20 20:45:51,69.4541,-133.0374,-0.4,85,90,19.57
181,Havelock,US,2021-12-20 20:43:54,34.8791,-76.9013,49.98,72,1,5.99
182,Villa Union,MX,2021-12-20 20:45:51,23.2,-106.2333,79.92,56,28,8.41
183,Paamiut,GL,2021-12-20 20:46:52,61.994,-49.6678,45.1,45,97,22.55
184,Lebu,CL,2021-12-20 20:46:06,-37.6167,-73.65,60.1,74,2,20.58
185,Airai,TL,2021-12-20 20:46:39,-8.9266,125.4092,61.23,94,100,0.83
