City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Odweyne,SO,9.4092,45.064,67.75,61,63,4.12,broken clouds
210,Anadyr,RU,64.75,177.4833,1.9,71,0,6.71,clear sky
211,Kavaratti,IN,10.5669,72.642,80.96,71,5,11.05,clear sky
212,Piacabucu,BR,-10.4056,-36.4344,80.91,70,1,8.08,clear sky
213,Ilula,TZ,-7.6766,36.0366,65.5,69,87,3.62,overcast clouds
214,La Ronge,CA,55.1001,-105.2842,-21.75,69,40,6.91,scattered clouds
215,Geraldton,AU,-28.7667,114.6,66.61,88,0,5.75,clear sky
216,Oblivskaya,RU,48.5362,42.5014,32.97,98,100,12.17,overcast clouds
217,Beidao,CN,34.5686,105.8933,31.23,57,100,1.14,light snow
218,Wlodawa,PL,51.55,23.55,28.71,95,100,4.76,overcast clouds
219,Batticaloa,LK,7.7102,81.6924,77.5,83,93,5.57,overcast clouds
220,Southbridge,US,42.0751,-72.0334,40.6,93,100,1.99,overcast clouds
221,Sobolevo,RU,54.4299,31.8996,6.37,99,98,5.19,overcast clouds
222,Ende,ID,-8.8432,121.6623,78.62,85,100,2.48,overcast clouds
223,Flinders,AU,-34.5833,150.8552,62.8,87,0,1.99,clear sky
224,Olga,RU,43.7444,135.2892,2.16,53,0,9.75,clear sky
225,Atar,MR,20.5169,-13.0499,74.46,17,0,8.48,clear sky
226,Oksfjord,NO,70.2396,22.3479,19.58,85,98,8.48,overcast clouds
227,Mount Gambier,AU,-37.8333,140.7667,46.31,93,21,4.61,few clouds
228,Saint-Leu,RE,-21.15,55.2833,76.06,76,100,5.08,overcast clouds
229,Hoi An,VN,15.8794,108.335,69.76,89,99,10.74,overcast clouds
230,La Malbaie,CA,47.6575,-70.1559,25.66,86,77,2.39,broken clouds
231,Ampanihy,MG,-24.7,44.75,74.71,72,28,4.25,scattered clouds
232,Tairua,NZ,-37.0167,175.85,69.1,68,6,7.18,clear sky
233,Cayenne,GF,4.9333,-52.3333,80.64,90,75,5.99,light rain
234,Manaus,BR,-3.1019,-60.025,86.5,74,40,3.44,light rain
235,Phonhong,LA,18.5007,102.4166,66.58,80,20,0.63,few clouds
236,Siswa Bazar,IN,27.15,83.7667,58.5,86,100,7.09,overcast clouds
237,Tura,IN,25.5198,90.2201,60.94,50,100,5.01,overcast clouds
238,Eureka,US,40.8021,-124.1637,49.24,87,84,1.99,broken clouds
239,Maceio,BR,-9.6658,-35.7353,87.24,54,20,12.66,few clouds
240,Bundaberg,AU,-24.85,152.35,71.22,89,100,5.01,overcast clouds
241,Tres Arroyos,AR,-38.3739,-60.2798,98.62,15,74,4.47,broken clouds
242,Iqaluit,CA,63.7506,-68.5145,4.73,77,90,0.0,light snow
243,Margate,GB,51.3813,1.3862,54.97,86,100,4.0,overcast clouds
244,Bangangte,CM,5.1409,10.5198,65.55,81,100,5.1,overcast clouds
245,Pundaguitan,PH,6.3711,126.1689,79.97,77,98,12.5,overcast clouds
246,Provideniya,RU,64.3833,-173.3,-9.76,91,33,8.23,scattered clouds
247,Gamboma,CG,-1.8764,15.8644,76.19,75,100,1.99,light rain
